d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
1,0,1,35,18,2466,0.9689,0.0476,1.0000,0.0000
1,1,1,35,8,1640,0.9689,0.0476,0.9900,0.0300
1,0,1,35,20,2740,0.9689,0.0476,1.0000,0.0000
1,1,0,35,18,2466,0.9789,0.0423,0.9889,0.0333
1,1,1,35,10,2050,0.9689,0.0476,0.9889,0.0333
0,1,1,35,24,3288,0.9800,0.0400,0.9900,0.0300
0,0,1,45,4,356,0.9800,0.0400,0.9800,0.0400
0,0,1,45,8,712,0.9800,0.0400,0.9800,0.0400
0,0,1,45,10,890,0.9800,0.0400,0.9800,0.0400
1,1,0,35,20,2740,0.9789,0.0423,0.9889,0.0333
0,0,1,45,14,1246,0.9800,0.0400,0.9900,0.0300
1,0,1,35,24,3288,0.9689,0.0476,0.9789,0.0423
0,0,1,45,18,1602,0.9600,0.0663,0.9589,0.0674
0,1,0,45,4,356,0.9589,0.0504,0.9689,0.0476
0,1,0,45,8,712,0.9489,0.0512,0.9800,0.0400
0,0,1,45,20,1780,0.9600,0.0663,0.9700,0.0640
0,1,0,45,10,890,0.9889,0.0333,1.0000,0.0000
0,1,0,45,14,1246,0.9789,0.0423,0.9689,0.0476
1,1,1,35,14,2870,0.9689,0.0476,0.9689,0.0476
1,1,0,35,24,3288,0.9789,0.0423,0.9889,0.0333
0,1,0,45,18,1602,0.9689,0.0476,0.9689,0.0476
0,1,1,45,4,708,0.9800,0.0400,0.9800,0.0400
0,0,1,45,24,2136,0.9500,0.0671,0.9700,0.0640
0,1,1,45,8,1416,0.9800,0.0400,0.9800,0.0400
0,1,0,45,20,1780,0.9689,0.0476,0.9689,0.0476
0,1,1,45,10,1770,0.9689,0.0476,0.9789,0.0423
0,1,0,45,24,2136,0.9689,0.0476,0.9789,0.0423
1,0,0,45,4,356,0.9589,0.0504,0.9800,0.0400
1,0,0,45,8,712,0.9789,0.0423,0.9900,0.0300
1,0,0,45,10,890,0.9789,0.0423,0.9789,0.0423
1,0,0,45,14,1246,0.9789,0.0423,0.9789,0.0423
0,1,1,45,14,2478,0.9800,0.0400,0.9900,0.0300
1,0,0,45,18,1602,0.9789,0.0423,0.9889,0.0333
1,0,0,45,20,1780,0.9789,0.0423,0.9889,0.0333
1,0,1,45,4,708,0.9689,0.0476,0.9800,0.0400
1,1,1,35,18,3690,0.9789,0.0423,0.9889,0.0333
1,0,1,45,8,1416,0.9689,0.0476,0.9689,0.0476
1,0,1,45,10,1770,0.9689,0.0476,0.9689,0.0476
1,0,0,45,24,2136,0.9789,0.0423,0.9789,0.0423
0,1,1,45,18,3186,0.9689,0.0476,0.9789,0.0423
1,1,1,35,20,4100,0.9689,0.0476,0.9589,0.0504
1,0,1,45,14,2478,0.9589,0.0504,0.9789,0.0423
1,1,0,45,4,708,0.9689,0.0476,0.9889,0.0333
0,1,1,45,20,3540,0.9689,0.0476,0.9900,0.0300
1,1,0,45,8,1416,0.9789,0.0423,0.9900,0.0300
1,1,0,45,10,1770,0.9789,0.0423,1.0000,0.0000
1,0,1,45,18,3186,0.9689,0.0476,0.9789,0.0423
1,1,0,45,14,2478,0.9789,0.0423,0.9789,0.0423
1,1,1,45,4,1060,0.9689,0.0476,0.9689,0.0476
1,0,1,45,20,3540,0.9689,0.0476,0.9789,0.0423
0,1,1,45,24,4248,0.9800,0.0400,0.9900,0.0300
1,1,1,45,8,2120,0.9689,0.0476,0.9900,0.0300
1,1,0,45,18,3186,0.9789,0.0423,0.9889,0.0333
1,1,1,35,24,4920,0.9689,0.0476,0.9689,0.0476
1,1,1,45,10,2650,0.9689,0.0476,0.9789,0.0423
1,1,0,45,20,3540,0.9789,0.0423,0.9889,0.0333
0,0,1,60,4,476,0.9800,0.0400,0.9800,0.0400
0,0,1,60,8,952,0.9800,0.0400,0.9800,0.0400
0,0,1,60,10,1190,0.9800,0.0400,0.9800,0.0400
0,0,1,60,14,1666,0.9700,0.0458,0.9800,0.0400
1,0,1,45,24,4248,0.9689,0.0476,0.9789,0.0423
0,0,1,60,18,2142,0.9600,0.0663,0.9800,0.0400
0,1,0,60,4,476,0.9589,0.0504,0.9689,0.0476
0,1,0,60,8,952,0.9789,0.0423,0.9900,0.0300
0,0,1,60,20,2380,0.9600,0.0663,0.9700,0.0640
0,1,0,60,10,1190,0.9589,0.0674,0.9789,0.0423
0,1,0,60,14,1666,0.9689,0.0653,0.9789,0.0423
1,1,1,45,14,3710,0.9689,0.0476,0.9589,0.0504
0,1,0,60,18,2142,0.9689,0.0476,0.9789,0.0423
0,1,1,60,4,948,0.9800,0.0400,0.9800,0.0400
1,1,0,45,24,4248,0.9789,0.0423,0.9789,0.0423
0,0,1,60,24,2856,0.9500,0.0671,0.9700,0.0640
0,1,0,60,20,2380,0.9689,0.0476,0.9789,0.0423
0,1,1,60,8,1896,0.9689,0.0476,0.9800,0.0400
0,1,1,60,10,2370,0.9689,0.0476,0.9900,0.0300
0,1,0,60,24,2856,0.9689,0.0476,0.9789,0.0423
1,0,0,60,4,476,0.9589,0.0504,0.9800,0.0400
1,0,0,60,8,952,0.9789,0.0423,0.9900,0.0300
