d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,25,24,1176,0.9296,0.0104,0.9125,0.0081
0,1,0,25,12,588,0.8659,0.0149,0.8372,0.0270
0,1,0,25,14,686,0.8698,0.0101,0.8363,0.0253
0,1,0,25,16,784,0.8738,0.0108,0.8421,0.0256
0,1,0,25,18,882,0.8759,0.0203,0.8381,0.0271
0,1,0,25,20,980,0.8662,0.0220,0.8424,0.0235
0,1,0,25,22,1078,0.8652,0.0208,0.8396,0.0279
0,1,1,25,4,196,0.9003,0.0126,0.8811,0.0154
0,1,1,25,6,294,0.9113,0.0095,0.8915,0.0137
0,1,1,25,8,392,0.9152,0.0108,0.8918,0.0153
0,1,1,25,10,490,0.9189,0.0111,0.9091,0.0091
0,1,1,25,12,588,0.9256,0.0109,0.9159,0.0127
0,1,1,25,14,686,0.9268,0.0137,0.9052,0.0126
0,1,0,25,24,1176,0.8710,0.0136,0.8409,0.0242
0,1,1,25,16,784,0.9192,0.0127,0.9070,0.0093
0,1,1,25,18,882,0.9253,0.0091,0.9095,0.0058
0,1,1,25,20,980,0.9284,0.0103,0.9137,0.0107
0,1,1,25,22,1078,0.9296,0.0096,0.9146,0.0106
1,0,0,25,4,196,0.8936,0.0179,0.8369,0.0214
1,0,0,25,6,294,0.9122,0.0119,0.8668,0.0188
1,0,0,25,8,392,0.9113,0.0095,0.8774,0.0187
1,0,0,25,10,490,0.9113,0.0117,0.8756,0.0159
0,1,1,25,24,1176,0.9265,0.0079,0.9122,0.0129
1,0,0,25,12,588,0.9104,0.0108,0.8771,0.0217
1,0,0,25,14,686,0.9110,0.0091,0.8826,0.0198
1,0,0,25,16,784,0.9162,0.0089,0.8814,0.0141
1,0,0,25,18,882,0.9143,0.0105,0.8826,0.0195
1,0,0,25,20,980,0.9122,0.0093,0.8875,0.0188
1,0,0,25,22,1078,0.9134,0.0075,0.8817,0.0143
1,0,1,25,4,196,0.9101,0.0095,0.8905,0.0143
1,0,1,25,6,294,0.9253,0.0118,0.8905,0.0146
1,0,1,25,8,392,0.9210,0.0108,0.8970,0.0139
1,0,1,25,10,490,0.9244,0.0090,0.9024,0.0144
1,0,0,25,24,1176,0.9119,0.0088,0.8802,0.0165
1,0,1,25,12,588,0.9290,0.0122,0.9116,0.0135
1,0,1,25,14,686,0.9314,0.0117,0.9186,0.0112
1,0,1,25,16,784,0.9345,0.0109,0.9253,0.0097
1,0,1,25,18,882,0.9308,0.0089,0.9247,0.0100
1,0,1,25,20,980,0.9363,0.0065,0.9177,0.0100
1,0,1,25,22,1078,0.9326,0.0093,0.9207,0.0104
1,1,0,25,4,196,0.8936,0.0149,0.8460,0.0205
1,1,0,25,6,294,0.9018,0.0144,0.8619,0.0223
1,1,0,25,8,392,0.9107,0.0124,0.8805,0.0169
1,0,1,25,24,1176,0.9323,0.0100,0.9189,0.0124
1,1,0,25,10,490,0.9113,0.0092,0.8829,0.0193
1,1,0,25,12,588,0.9131,0.0077,0.8869,0.0209
1,1,0,25,14,686,0.9162,0.0122,0.8841,0.0161
1,1,0,25,16,784,0.9116,0.0084,0.8817,0.0181
1,1,0,25,18,882,0.9168,0.0105,0.8909,0.0159
1,1,0,25,20,980,0.9134,0.0092,0.8976,0.0190
1,1,0,25,22,1078,0.9143,0.0115,0.8942,0.0157
1,1,1,25,4,196,0.9085,0.0123,0.8735,0.0145
1,1,1,25,6,294,0.9159,0.0101,0.8963,0.0149
1,1,1,25,8,392,0.9223,0.0105,0.9043,0.0147
1,1,1,25,10,490,0.9244,0.0117,0.9073,0.0121
1,1,1,25,12,588,0.9280,0.0079,0.9116,0.0122
1,1,1,25,14,686,0.9232,0.0085,0.9131,0.0134
1,1,0,25,24,1176,0.9149,0.0071,0.8945,0.0156
1,1,1,25,16,784,0.9348,0.0117,0.9213,0.0098
1,1,1,25,18,882,0.9293,0.0136,0.9189,0.0115
1,1,1,25,20,980,0.9256,0.0126,0.9189,0.0086
1,1,1,25,22,1078,0.9354,0.0091,0.9262,0.0121
0,0,1,30,4,236,0.9061,0.0099,0.8784,0.0104
0,0,1,30,6,354,0.9143,0.0133,0.8945,0.0153
1,1,1,25,24,1176,0.9357,0.0098,0.9235,0.0127
0,0,1,30,8,472,0.9268,0.0095,0.8997,0.0080
0,0,1,30,10,590,0.9198,0.0132,0.8927,0.0104
0,0,1,30,12,708,0.9253,0.0114,0.9046,0.0158
0,0,1,30,14,826,0.9232,0.0069,0.8966,0.0111
0,0,1,30,16,944,0.9232,0.0099,0.9021,0.0130
0,0,1,30,18,1062,0.9317,0.0100,0.9082,0.0174
0,0,1,30,20,1180,0.9247,0.0112,0.9027,0.0138
0,0,1,30,22,1298,0.9341,0.0074,0.9070,0.0083
0,1,0,30,4,236,0.8573,0.0218,0.8058,0.0226
0,1,0,30,6,354,0.8595,0.0205,0.8131,0.0197
0,1,0,30,8,472,0.8649,0.0210,0.8256,0.0210
0,1,0,30,10,590,0.8720,0.0200,0.8311,0.0210
0,0,1,30,24,1416,0.9256,0.0099,0.9012,0.0142
0,1,0,30,12,708,0.8637,0.0144,0.8348,0.0256
0,1,0,30,14,826,0.8613,0.0118,0.8372,0.0214
0,1,0,30,16,944,0.8640,0.0194,0.8454,0.0187
0,1,0,30,18,1062,0.8668,0.0221,0.8405,0.0176
0,1,0,30,20,1180,0.8680,0.0147,0.8457,0.0216
0,1,0,30,22,1298,0.8655,0.0226,0.8415,0.0249
0,1,1,30,4,236,0.9113,0.0117,0.8866,0.0139
0,1,1,30,6,354,0.9183,0.0080,0.8991,0.0136
0,1,1,30,8,472,0.9220,0.0076,0.9055,0.0104
0,1,1,30,10,590,0.9259,0.0099,0.9159,0.0118
0,1,1,30,12,708,0.9226,0.0108,0.9183,0.0105
0,1,1,30,14,826,0.9308,0.0103,0.9116,0.0083
0,1,0,30,24,1416,0.8683,0.0183,0.8405,0.0271
0,1,1,30,16,944,0.9235,0.0092,0.9140,0.0067
0,1,1,30,18,1062,0.9271,0.0070,0.9155,0.0086
0,1,1,30,20,1180,0.9341,0.0068,0.9223,0.0135
0,1,1,30,22,1298,0.9271,0.0070,0.9207,0.0111
1,0,0,30,4,236,0.8878,0.0209,0.8396,0.0241
1,0,0,30,6,354,0.9030,0.0125,0.8680,0.0206
1,0,0,30,8,472,0.9119,0.0113,0.8759,0.0233
0,1,1,30,24,1416,0.9360,0.0087,0.9216,0.0112
1,0,0,30,10,590,0.9091,0.0097,0.8808,0.0181
1,0,0,30,12,708,0.9076,0.0099,0.8777,0.0217
1,0,0,30,14,826,0.9037,0.0124,0.8774,0.0181
1,0,0,30,16,944,0.9122,0.0101,0.8848,0.0186
1,0,0,30,18,1062,0.9168,0.0135,0.8875,0.0144
1,0,0,30,20,1180,0.9116,0.0136,0.8841,0.0162
